transcript_id,transcript_position,score
ENST00000000233,244,0.8825746
ENST00000000233,261,0.88379973
ENST00000000233,316,0.95350444
ENST00000000233,332,0.61504525
ENST00000000233,368,0.07528151
ENST00000000233,404,0.9143485
ENST00000000233,431,0.82957137
ENST00000000233,440,0.013503268
ENST00000000233,471,0.4290937
ENST00000000233,539,0.97401965
ENST00000000233,571,0.9329214
ENST00000000233,575,0.99900836
ENST00000000233,665,0.99503976
ENST00000000233,696,0.5508928
ENST00000000233,752,0.49676806
ENST00000000233,757,0.86941475
ENST00000000233,765,0.880824
ENST00000000233,913,0.98687553
ENST00000000412,355,0.9645288
ENST00000000412,367,0.7000081
ENST00000000412,496,0.94597125
ENST00000000412,501,0.06626644
ENST00000000412,547,0.8797054
ENST00000000412,559,0.9799815
ENST00000000412,627,0.059340194
ENST00000000412,674,0.7273448
ENST00000000412,769,0.53078556
ENST00000000412,783,0.61115515
ENST00000000412,793,0.7313127
ENST00000000412,854,0.94350195
ENST00000000412,923,0.9973985
ENST00000000412,932,0.72101027
ENST00000000412,1190,0.8525458
ENST00000000412,1209,0.83577836
ENST00000000412,1250,0.95007634
ENST00000000412,1283,0.79116464
ENST00000000412,1343,0.9326775
ENST00000000412,1458,0.9784696
ENST00000000412,1545,0.12359226
ENST00000000412,1570,0.85456836
ENST00000000412,1638,0.19200261
ENST00000000412,1661,0.9952787
ENST00000000412,1699,0.8533027
ENST00000000412,1790,0.016654361
ENST00000000412,1860,0.9900266
ENST00000000412,1888,0.70773435
ENST00000000412,1960,0.99836975
ENST00000000412,1986,0.8015017
ENST00000000412,2195,0.64290845
ENST00000000412,2230,0.9994752
ENST00000000412,2275,0.92165023
ENST00000000412,2434,0.93952686
ENST00000000412,2440,0.7722769
ENST00000000412,2462,0.60995805
ENST00000000412,2484,0.51056385
ENST00000000412,2499,0.94831795
ENST00000000412,2564,0.89533436
ENST00000000412,2580,0.9838663
ENST00000000412,2618,0.72957736
ENST00000000412,2707,0.050067846
ENST00000000412,2728,0.8930155
ENST00000002165,35,0.49029475
ENST00000002165,54,0.6363437
ENST00000002165,207,0.98811346
ENST00000002165,367,0.9872021
ENST00000002165,449,0.10902404
ENST00000002165,457,0.8764087
ENST00000002165,501,0.9847061
ENST00000002165,534,0.2662228
ENST00000002165,547,0.5515
ENST00000002165,567,0.5084873
ENST00000002165,572,0.9404724
ENST00000002165,576,0.9682293
ENST00000002165,589,0.9987369
ENST00000002165,680,0.84030545
ENST00000002165,708,0.20118546
ENST00000002165,771,0.95091975
ENST00000002165,900,0.63577074
ENST00000002165,907,0.9947048
ENST00000002165,933,0.98171496
ENST00000002165,941,0.7466518
ENST00000002165,948,0.96977973
ENST00000002165,952,0.9973297
ENST00000002165,990,0.73124325
ENST00000002165,1031,0.17665112
ENST00000002165,1163,0.11768943
ENST00000002165,1188,0.28494582
ENST00000002165,1273,0.96722513
ENST00000002165,1324,0.60810626
ENST00000002165,1339,0.27592325
ENST00000002165,1350,0.72687554
ENST00000002165,1387,0.56960064
ENST00000002165,1400,0.31728223
ENST00000002165,1445,0.9994368
ENST00000002165,1506,0.89733154
ENST00000002165,1553,0.8619564
ENST00000002165,1630,0.4000229
ENST00000002165,1639,0.020266337
ENST00000003100,1022,0.95870674
ENST00000003100,1072,0.9329025
ENST00000003100,1172,0.9959194
ENST00000003100,1177,0.7021854
ENST00000003100,1210,0.92632914
ENST00000003100,1240,0.50999224
ENST00000003100,1247,0.84342074
ENST00000003100,1291,0.9986247
ENST00000003100,1299,0.9882401
ENST00000003100,1305,0.9763415
ENST00000003100,1339,0.45956853
ENST00000003100,1348,0.80732214
ENST00000003100,1413,0.99821717
ENST00000003100,1421,0.997835
ENST00000003100,1442,0.9987639
ENST00000003100,1472,0.2729504
ENST00000003100,1564,0.9904191
ENST00000003100,1661,0.7672304
ENST00000003100,1773,0.8829057
ENST00000003100,1845,0.33870825
ENST00000003100,1880,0.9559488
ENST00000003100,1937,0.69624084
ENST00000003100,2055,0.9782136
ENST00000003100,2105,0.79099774
ENST00000003100,2175,0.23530504
ENST00000003100,2272,0.095842525
ENST00000003100,2310,0.81542856
ENST00000003100,2360,0.94298875
ENST00000003100,2737,0.17916189
ENST00000003100,2744,0.9874089
ENST00000003100,2873,0.99487275
ENST00000003100,2880,0.2873155
ENST00000003100,2884,0.8430593
ENST00000003100,2916,0.49673486
ENST00000003100,2940,0.9613666
ENST00000003100,3020,0.4404628
ENST00000003100,3032,0.057972424
ENST00000003100,3126,0.9453737
ENST00000003100,3136,0.9894546
ENST00000003100,3147,0.9355114
ENST00000007516,186,0.5735722
ENST00000007516,204,0.9654763
ENST00000007516,307,0.29942894
ENST00000007516,329,0.66726476
ENST00000007516,337,0.87253326
ENST00000007516,346,0.97594255
ENST00000007516,385,0.8111236
ENST00000007516,397,0.98826164
ENST00000007516,406,0.7490167
ENST00000007516,545,0.4371942
ENST00000007516,569,0.77281094
ENST00000007516,604,0.060881764
ENST00000007516,626,0.9353113
ENST00000007516,632,0.9883624
ENST00000007516,650,0.9402414
ENST00000005257,470,0.08605616
ENST00000005257,504,0.27276406
ENST00000005257,525,0.94089663
ENST00000005257,600,0.60980666
ENST00000005257,696,0.9857706
ENST00000005257,759,0.6060013
ENST00000005257,784,0.56661975
ENST00000005257,810,0.17687045
ENST00000005257,834,0.15571417
ENST00000005257,845,0.8797078
ENST00000005257,857,0.9633461
ENST00000005257,873,0.98280036
ENST00000005257,924,0.05980188
ENST00000005257,2254,0.6622017
ENST00000005257,2323,0.5377139
ENST00000005257,2390,0.09724934
ENST00000005257,2440,0.38608956
ENST00000005257,2473,0.30698714
ENST00000005257,2512,0.14311612
ENST00000005257,2642,0.80899304
ENST00000005257,2696,0.48759604
ENST00000005257,2709,0.43577886
ENST00000005257,2716,0.52804995
ENST00000005257,2724,0.99363273
ENST00000005257,2737,0.50433844
ENST00000005257,2779,0.99532723
ENST00000001008,190,0.3339354
ENST00000001008,257,0.99405754
ENST00000001008,270,0.7768563
ENST00000001008,338,0.9470056
ENST00000001008,389,0.9973743
ENST00000001008,410,0.5908637
ENST00000001008,425,0.9976547
ENST00000001008,458,0.9864529
ENST00000001008,510,0.9317695
ENST00000001008,652,0.8972661
ENST00000001008,725,0.762344
ENST00000001008,737,0.91700065
ENST00000001008,776,0.68691576
ENST00000001008,831,0.29703385
ENST00000001008,990,0.47426894
ENST00000001008,1179,0.73204374
ENST00000001008,1214,0.2937458
ENST00000001008,1227,0.3076961
ENST00000001008,1232,0.9987953
ENST00000001008,1289,0.38045838
ENST00000001008,1296,0.9001615
ENST00000001008,1357,0.736218
ENST00000001008,1454,0.52662885
ENST00000001008,1484,0.75247705
ENST00000001008,1496,0.7718895
ENST00000001008,1555,0.9928519
ENST00000001008,1642,0.4329834
ENST00000001008,1666,0.93214184
ENST00000001008,1793,0.9362406
ENST00000001008,1905,0.08537669
ENST00000001008,1924,0.09978597
ENST00000001008,2002,0.60287994
ENST00000001008,2013,0.5511976
ENST00000001008,2095,0.71789503
ENST00000001008,2242,0.91293645
ENST00000007390,435,0.9808816
ENST00000007390,439,0.95164955
ENST00000007390,500,0.36201972
ENST00000007390,570,0.45567685
ENST00000007390,589,0.7691122
ENST00000007390,642,0.8351992
ENST00000007390,693,0.99712735
ENST00000007390,699,0.6157382
ENST00000007390,714,0.880148
ENST00000007390,846,0.29052252
ENST00000007390,885,0.90659714
ENST00000007390,894,0.6200453
ENST00000007390,912,0.2320775
ENST00000007390,1041,0.9871013
ENST00000007390,1055,0.9726385
ENST00000007390,1096,0.61844844
ENST00000007390,1105,0.7680139
ENST00000007390,1151,0.8716245
ENST00000007264,108,0.93165916
ENST00000007264,223,0.9122193
ENST00000007264,243,0.8397121
ENST00000007264,249,0.19053596
ENST00000007264,298,0.14246729
ENST00000007264,370,0.9977615
ENST00000007264,420,0.9831456
ENST00000007264,471,0.55327034
ENST00000007264,496,0.46731526
ENST00000007264,553,0.005911593
ENST00000007264,590,0.07781386
ENST00000007264,651,0.53165925
ENST00000007264,708,0.99502784
ENST00000007264,736,0.18589306
ENST00000007264,787,0.9966378
ENST00000007264,817,0.85677767
ENST00000007264,877,0.8422849
ENST00000007264,916,0.9373779
ENST00000007264,1008,0.4942453
ENST00000007264,1061,0.960962
ENST00000007264,1066,0.9855033
ENST00000007264,1116,0.99649423
ENST00000007264,1293,0.99924004
ENST00000007264,1341,0.9968971
ENST00000007264,1366,0.98344237
ENST00000007264,1413,0.95903534
ENST00000007264,1564,0.8800905
ENST00000007264,1640,0.22325137
ENST00000007264,1923,0.9887938
ENST00000007264,2015,0.32173783
ENST00000009589,62,0.96463114
ENST00000009589,90,0.85903084
ENST00000009589,147,0.030266896
ENST00000009589,195,0.39392287
ENST00000009589,235,0.9326619
ENST00000009589,278,0.89713436
ENST00000009589,300,0.80103767
ENST00000009589,324,0.23397124
ENST00000009589,391,0.9238071
ENST00000009589,507,0.44966826
ENST00000009041,186,0.22398458
ENST00000009041,244,0.9353205
ENST00000009041,261,0.6283212
ENST00000009041,276,0.8589291
ENST00000009041,416,0.5124665
ENST00000009041,441,0.98452985
ENST00000009041,455,0.3931712
ENST00000009041,501,0.22170922
ENST00000009041,531,0.077262305
ENST00000009041,613,0.9960549
ENST00000009041,641,0.7144696
ENST00000009041,653,0.504455
ENST00000009041,807,0.91894543
ENST00000009041,811,0.55875385
ENST00000009041,928,0.91762406
ENST00000009041,933,0.63715655
ENST00000009041,943,0.28616783
ENST00000009041,955,0.09850631
ENST00000009041,987,0.96587276
ENST00000009041,1086,0.51854175
ENST00000009041,1206,0.9976788
ENST00000009041,1224,0.4322584
ENST00000009041,1268,0.960166
ENST00000009041,1286,0.123765066
ENST00000009041,1381,0.7008035
ENST00000009041,1407,0.7624152
ENST00000005340,2421,0.8934282
ENST00000005340,2425,0.9992531
ENST00000005340,2536,0.33770037
ENST00000005340,2626,0.9677509
ENST00000005340,2672,0.82887065
ENST00000005340,2679,0.9209303
ENST00000005340,2754,0.9672176
ENST00000005340,2815,0.8374058
ENST00000005340,2828,0.042129263
ENST00000005340,2909,0.256526
ENST00000005340,2988,0.739665
ENST00000016171,285,0.9292867
ENST00000016171,318,0.7804287
ENST00000016171,327,0.5165041
ENST00000016171,462,0.9931045
ENST00000016171,468,0.9995148
ENST00000016171,665,0.72485477
ENST00000016171,682,0.9624325
ENST00000016171,691,0.5876738
ENST00000016171,768,0.9935173
ENST00000016171,810,0.42546892
ENST00000016171,849,0.8436565
ENST00000016171,922,0.19481471
ENST00000016171,961,0.66840684
ENST00000016171,1107,0.8703983
ENST00000016171,1125,0.9935702
ENST00000016171,1262,0.9060357
ENST00000016171,1294,0.11692999
ENST00000016171,1308,0.99783945
ENST00000016171,1314,0.8811219
ENST00000016171,1347,0.036795754
ENST00000016171,1369,0.8943418
ENST00000016171,1375,0.7903908
ENST00000016171,2105,0.32370546
ENST00000016171,2112,0.9956762
ENST00000016171,2208,0.11408207
ENST00000014930,297,0.95625037
ENST00000014930,370,0.9332882
ENST00000014930,393,0.1443482
ENST00000014930,475,0.29683214
ENST00000014930,508,0.3812739
ENST00000014930,586,0.09368197
ENST00000014930,649,0.9156027
ENST00000014930,673,0.98160124
ENST00000014930,723,0.670969
ENST00000014930,732,0.23151344
ENST00000014930,741,0.07627778
ENST00000014930,748,0.17774652
ENST00000014930,798,0.016395794
ENST00000014930,835,0.108580805
ENST00000014930,977,0.80020225
ENST00000014930,1025,0.7435115
ENST00000002596,968,0.82212776
ENST00000002596,1050,0.84465045
ENST00000002596,1100,0.9874843
ENST00000002596,1132,0.9949551
ENST00000002596,1280,0.96955544
ENST00000002596,1343,0.9901245
ENST00000002596,1532,0.9923151
ENST00000002596,1584,0.6645328
ENST00000002596,1617,0.9954294
ENST00000002596,1641,0.9475331
ENST00000002596,1734,0.9877336
ENST00000002596,1779,0.98396206
ENST00000002596,1842,0.99628204
ENST00000002596,1908,0.8398392
ENST00000002596,1920,0.41941494
ENST00000002596,1925,0.969041
ENST00000002596,1950,0.9460739
ENST00000002596,1962,0.06031558
ENST00000002596,2014,0.9922437
ENST00000002596,2026,0.99550015
ENST00000002596,2081,0.5776053
ENST00000002596,2088,0.98942566
ENST00000002596,2122,0.8226622
ENST00000002596,2314,0.37746048
ENST00000002596,2344,0.90827507
ENST00000002596,2349,0.46733442
ENST00000002596,2414,0.70977277
ENST00000002596,2668,0.98251605
ENST00000002596,2745,0.96371585
ENST00000005260,425,0.99952567
ENST00000005260,467,0.9554205
ENST00000005260,542,0.606493
ENST00000005260,585,0.9229223
ENST00000005260,590,0.5930566
ENST00000005260,686,0.7181408
ENST00000005260,711,0.54429674
ENST00000005260,829,0.9309174
ENST00000005260,863,0.900758
ENST00000005260,897,0.93637866
ENST00000005260,957,0.8324985
ENST00000005260,984,0.51792103
ENST00000005260,1123,0.06170908
ENST00000005260,1220,0.84614986
ENST00000005260,1225,0.77845734
ENST00000005260,1251,0.8344474
ENST00000005260,1284,0.93073773
ENST00000005260,1361,0.101558745
ENST00000005260,1428,0.65308625
ENST00000005260,1440,0.9365487
ENST00000005260,1489,0.91050184
ENST00000005260,1626,0.9613858
ENST00000005260,1653,0.99809426
ENST00000005260,1684,0.86825305
ENST00000005260,1703,0.99298286
ENST00000005260,1756,0.9042068
ENST00000005260,1766,0.93896604
ENST00000005260,1861,0.18099917
ENST00000005260,1918,0.98758286
ENST00000005260,1959,0.07748686
ENST00000005260,2005,0.07608946
ENST00000005260,2012,0.8394455
ENST00000022615,7,0.7113058
ENST00000022615,75,0.6842469
ENST00000022615,93,0.9956332
ENST00000022615,156,0.7900123
ENST00000022615,164,0.88672805
ENST00000022615,245,0.78519225
ENST00000022615,264,0.3739364
ENST00000022615,271,0.99530137
ENST00000022615,294,0.88040066
ENST00000022615,300,0.95447135
ENST00000022615,314,0.60967416
ENST00000022615,355,0.28962862
ENST00000022615,359,0.6399877
ENST00000022615,384,0.466046
ENST00000022615,472,0.2875722
ENST00000022615,540,0.99148095
ENST00000022615,556,0.9380516
ENST00000022615,597,0.946657
ENST00000022615,677,0.8326213
ENST00000022615,687,0.64922905
ENST00000022615,698,0.861951
ENST00000022615,711,0.050810736
ENST00000022615,758,0.929272
ENST00000022615,799,0.8173038
ENST00000022615,815,0.98544484
ENST00000022615,839,0.99963987
ENST00000022615,867,0.7097709
ENST00000022615,907,0.5797728
ENST00000022615,970,0.6546254
ENST00000022615,1021,0.9702312
ENST00000022615,1213,0.98822755
ENST00000022615,1264,0.83455026
ENST00000022615,1333,0.9615886
ENST00000011619,1016,0.6126396
ENST00000011619,1097,0.0028184794
ENST00000011619,1157,0.12051495
ENST00000011619,1279,0.9959544
ENST00000011619,1331,0.19589473
ENST00000011619,1473,0.2966797
ENST00000011619,1651,0.14078066
ENST00000011619,1681,0.04286314
ENST00000011619,1686,0.8088355
ENST00000011619,1722,0.36388165
ENST00000011619,1743,0.9057403
ENST00000011619,1751,0.99796814
ENST00000011619,1781,0.8540534
ENST00000011619,1816,0.97066665
ENST00000011619,1821,0.7310981
ENST00000011619,1842,0.7456628
ENST00000011619,1954,0.84210855
ENST00000011619,1968,0.73081875
ENST00000011619,1980,0.77952623
ENST00000011619,1989,0.8089548
ENST00000011619,2043,0.3213382
ENST00000011619,2067,0.14210646
ENST00000011619,2083,0.8443522
ENST00000011619,2103,0.94508684
ENST00000011619,2120,0.5187844
ENST00000011619,2164,0.9669727
ENST00000011619,2185,0.94670093
ENST00000011619,2235,0.85654676
ENST00000011619,2305,0.44231117
ENST00000011619,2354,0.65529823
ENST00000011619,2414,0.029835753
ENST00000011619,2448,0.6182353
ENST00000011619,2521,0.9888896
ENST00000011619,2538,0.83078563
ENST00000011619,2593,0.39031425
ENST00000011619,2629,0.9979546
ENST00000011619,2686,0.090439
ENST00000011619,2703,0.8816068
ENST00000011619,2765,0.9945314
ENST00000011619,2846,0.68489814
ENST00000011619,2878,0.13702968
ENST00000011619,2888,0.8408479
ENST00000011619,2901,0.7188464
ENST00000011619,2914,0.062800884
ENST00000011619,2928,0.438387
ENST00000011619,2958,0.6552515
ENST00000011619,2976,0.19867322
ENST00000011619,3084,0.13183697
ENST00000005386,183,0.9378038
ENST00000005386,223,0.9694466
ENST00000005386,238,0.09071753
ENST00000005386,354,0.86252666
ENST00000005386,363,0.95918524
ENST00000005386,400,0.93934095
ENST00000005386,1187,0.90596604
ENST00000005386,1225,0.26330927
ENST00000005386,1451,0.9305674
ENST00000005386,1708,0.11112258
ENST00000005386,1714,0.45798704
ENST00000005386,1758,0.99042153
ENST00000005386,1786,0.5456545
ENST00000005386,1837,0.7437358
ENST00000005386,1914,0.99431133
ENST00000005386,1966,0.9385746
ENST00000005386,1975,0.24104077
ENST00000005386,2089,0.26402354
ENST00000005386,2144,0.97576886
ENST00000005386,2217,0.9933842
ENST00000005386,2228,0.85445076
ENST00000005386,2242,0.06890132
ENST00000005386,2265,0.32391638
ENST00000005286,2622,0.9014217
ENST00000005286,2792,0.34908685
ENST00000005286,2812,0.87985086
ENST00000005286,2857,0.882796
ENST00000005286,2867,0.83921504
ENST00000005286,2884,0.86315554
ENST00000005286,3054,0.9491787
ENST00000005286,3142,0.64918643
ENST00000005286,3163,0.33999753
ENST00000005286,3178,0.9391519
ENST00000005286,3227,0.1856147
ENST00000005286,3357,0.3730474
ENST00000005286,3397,0.9902497
ENST00000005286,3439,0.91640925
ENST00000005286,3453,0.574052
ENST00000005286,3462,0.72632504
ENST00000037243,158,0.7331493
ENST00000037243,171,0.9714466
ENST00000037243,263,0.9995474
ENST00000037243,269,0.49000388
ENST00000037243,382,0.7231392
ENST00000037243,403,0.08538924
ENST00000037243,411,0.80672204
ENST00000037243,473,0.13956629
ENST00000037243,518,0.2261096
ENST00000037243,569,0.90788215
ENST00000037243,583,0.9882284
ENST00000037243,602,0.054049246
ENST00000037243,646,0.13387968
ENST00000037243,724,0.98138076
ENST00000037243,886,0.196365
ENST00000037243,928,0.60765004
ENST00000037243,956,0.5039316
ENST00000037243,976,0.077138364
ENST00000023939,131,0.91412205
ENST00000023939,151,0.9796362
ENST00000023939,306,0.06989866
ENST00000023939,358,0.8457461
ENST00000023939,367,0.9009846
ENST00000023939,375,0.68830615
ENST00000023939,405,0.512733
ENST00000023939,467,0.7129598
ENST00000023939,516,0.9749639
ENST00000023939,528,0.9704746
ENST00000023939,540,0.3477028
ENST00000023939,752,0.98377496
ENST00000023939,797,0.36874977
ENST00000023939,805,0.91354394
ENST00000023939,832,0.89105695
ENST00000023939,875,0.8111117
ENST00000023939,920,0.958877
ENST00000023939,1014,0.99868757
ENST00000023939,1306,0.98889786
ENST00000023939,1420,0.47443807
ENST00000023939,1427,0.9353429
ENST00000023939,1470,0.19710553
ENST00000023939,1523,0.6668543
ENST00000012443,127,0.06155878
ENST00000012443,156,0.6105552
ENST00000012443,199,0.7152625
ENST00000012443,212,0.1548251
ENST00000012443,230,0.9434369
ENST00000012443,275,0.88546324
ENST00000012443,377,0.99958855
ENST00000012443,455,0.97141236
ENST00000012443,488,0.80315155
ENST00000012443,590,0.99866426
ENST00000012443,599,0.95258605
ENST00000012443,613,0.33562547
ENST00000012443,636,0.9934455
ENST00000012443,661,0.8973809
ENST00000012443,701,0.23472564
ENST00000012443,711,0.98429674
ENST00000012443,787,0.9583712
ENST00000012443,802,0.99359244
ENST00000012443,827,0.74776834
ENST00000012443,848,0.7883546
ENST00000012443,889,0.9962134
ENST00000012443,914,0.9986927
ENST00000012443,923,0.23584192
ENST00000012443,1018,0.937181
ENST00000012443,1022,0.30318755
ENST00000012443,1031,0.9404657
ENST00000012443,1196,0.96004045
ENST00000012443,1250,0.13676243
ENST00000012443,1355,0.7837717
ENST00000012443,1364,0.8760474
ENST00000012443,1472,0.18303664
ENST00000012443,1505,0.53689027
ENST00000012443,1652,0.22826989
ENST00000012443,1704,0.53193104
ENST00000012443,1802,0.9590265
ENST00000012443,1961,0.99250185
ENST00000013807,66,0.39389604
ENST00000013807,196,0.9497529
ENST00000013807,208,0.98492163
