transcript_id,transcript_position,score
ENST00000000233,244,0.3995646
ENST00000000233,261,0.98310214
ENST00000000233,316,0.82124126
ENST00000000233,332,0.6046228
ENST00000000233,368,0.8456127
ENST00000000233,404,0.6351416
ENST00000000233,431,0.99321645
ENST00000000233,440,0.51875174
ENST00000000233,471,0.17212087
ENST00000000233,539,0.9406178
ENST00000000233,571,0.76365584
ENST00000000233,575,0.63456875
ENST00000000233,665,0.8238984
ENST00000000233,696,0.3155321
ENST00000000233,752,0.8793169
ENST00000000233,757,0.94443697
ENST00000000233,765,0.9516559
ENST00000000233,913,0.9729067
ENST00000000412,355,0.97810286
ENST00000000412,367,0.6172318
ENST00000000412,496,0.7930944
ENST00000000412,501,0.88736236
ENST00000000412,547,0.86650044
ENST00000000412,559,0.96474874
ENST00000000412,627,0.9581687
ENST00000000412,674,0.28888345
ENST00000000412,769,0.64669037
ENST00000000412,783,0.9436141
ENST00000000412,793,0.9378796
ENST00000000412,854,0.7365279
ENST00000000412,923,0.52162164
ENST00000000412,932,0.5084554
ENST00000000412,1190,0.9803396
ENST00000000412,1209,0.6777544
ENST00000000412,1250,0.0060316296
ENST00000000412,1283,0.61722666
ENST00000000412,1343,0.46417204
ENST00000000412,1458,0.9946549
ENST00000000412,1545,0.04108888
ENST00000000412,1570,0.20343593
ENST00000000412,1638,0.050804425
ENST00000000412,1661,0.6937588
ENST00000000412,1699,0.8401492
ENST00000000412,1790,0.03920344
ENST00000000412,1860,0.69391227
ENST00000000412,1888,0.2297691
ENST00000000412,1960,0.8904013
ENST00000000412,1986,0.96431077
ENST00000000412,2195,0.90692145
ENST00000000412,2230,0.90690416
ENST00000000412,2275,0.7329614
ENST00000000412,2434,0.9726835
ENST00000000412,2462,0.39744487
ENST00000000412,2484,0.1747714
ENST00000000412,2564,0.92303675
ENST00000000412,2580,0.9888061
ENST00000000412,2618,0.9356806
ENST00000000412,2707,0.0850247
ENST00000000412,2728,0.3226356
ENST00000002165,35,0.4656082
ENST00000002165,54,0.94532263
ENST00000002165,207,0.25380406
ENST00000002165,367,0.9527191
ENST00000002165,449,0.28579256
ENST00000002165,457,0.27877212
ENST00000002165,501,0.19521366
ENST00000002165,534,0.34446287
ENST00000002165,547,0.83551955
ENST00000002165,567,0.42967373
ENST00000002165,572,0.65107745
ENST00000002165,576,0.33409286
ENST00000002165,589,0.96516544
ENST00000002165,680,0.9896493
ENST00000002165,708,0.13023564
ENST00000002165,771,0.8752902
ENST00000002165,900,0.09704754
ENST00000002165,907,0.9947842
ENST00000002165,933,0.62702346
ENST00000002165,941,0.9686382
ENST00000002165,948,0.9742421
ENST00000002165,952,0.8188474
ENST00000002165,990,0.8362236
ENST00000002165,1031,0.8202741
ENST00000002165,1163,0.37707105
ENST00000002165,1188,0.9925625
ENST00000002165,1273,0.8843251
ENST00000002165,1324,0.8721226
ENST00000002165,1339,0.90269494
ENST00000002165,1350,0.1583012
ENST00000002165,1387,0.06175206
ENST00000002165,1400,0.5143455
ENST00000002165,1445,0.976188
ENST00000002165,1506,0.8763732
ENST00000002165,1553,0.8547379
ENST00000002165,1630,0.39919558
ENST00000002165,1639,0.5394542
ENST00000007516,186,0.9801201
ENST00000007516,204,0.96383446
ENST00000007516,307,0.37134865
ENST00000007516,329,0.71065146
ENST00000007516,337,0.96378684
ENST00000007516,346,0.9868663
ENST00000007516,385,0.83290654
ENST00000007516,397,0.99896526
ENST00000007516,406,0.75244623
ENST00000007516,545,0.9959746
ENST00000007516,569,0.99067503
ENST00000007516,604,0.09615659
ENST00000007516,626,0.91343766
ENST00000007516,632,0.9975593
ENST00000007516,650,0.99586594
ENST00000001008,190,0.10964727
ENST00000001008,257,0.9669069
ENST00000001008,270,0.9753245
ENST00000001008,338,0.14659429
ENST00000001008,389,0.9948015
ENST00000001008,410,0.99345076
ENST00000001008,425,0.99447507
ENST00000001008,458,0.9973079
ENST00000001008,510,0.44943985
ENST00000001008,652,0.94008523
ENST00000001008,725,0.95693076
ENST00000001008,737,0.39758638
ENST00000001008,776,0.33060503
ENST00000001008,831,0.5498428
ENST00000001008,990,0.97621596
ENST00000001008,1179,0.9547767
ENST00000001008,1214,0.60559636
ENST00000001008,1227,0.10159464
ENST00000001008,1232,0.96844155
ENST00000001008,1289,0.9936353
ENST00000001008,1296,0.9205157
ENST00000001008,1357,0.310452
ENST00000001008,1454,0.78608394
ENST00000001008,1484,0.970341
ENST00000001008,1496,0.9314102
ENST00000001008,1555,0.9357327
ENST00000001008,1642,0.17701134
ENST00000001008,1666,0.37796813
ENST00000001008,1793,0.89837337
ENST00000001008,1905,0.39682764
ENST00000001008,1924,0.038917217
ENST00000001008,2002,0.9512234
ENST00000001008,2013,0.47454137
ENST00000001008,2095,0.49223205
ENST00000001008,2242,0.974974
ENST00000007264,108,0.7699892
ENST00000007264,298,0.22244596
ENST00000007264,370,0.9933749
ENST00000007264,420,0.9673575
ENST00000007264,471,0.32492983
ENST00000007264,496,0.13602054
ENST00000007264,553,0.28173754
ENST00000007264,590,0.4054192
ENST00000007264,708,0.91247904
ENST00000007264,736,0.52630794
ENST00000007264,787,0.9513081
ENST00000007264,817,0.9810719
ENST00000007264,877,0.89278674
ENST00000007264,916,0.7915886
ENST00000007264,1061,0.84565717
ENST00000007264,1066,0.9982498
ENST00000007264,1116,0.76225287
ENST00000007264,1293,0.9932361
ENST00000007264,1341,0.4280415
ENST00000007264,1366,0.97480834
ENST00000007264,1413,0.95029527
ENST00000007264,1564,0.5904519
